NOMENCLATURE;AGPR;CONSO
10111;3;88
1012;3;34
10121;3;34
1013;3;72
10131;3;72
1014;3;31
10141;3;31
1015;3;14
1015Z;3;14
11;3;2884
111;3;2349
1111;3;1259
11111;3;667
11112;3;591
1112;3;797
11121;3;797
1113;3;293
1113Z;3;293
112;3;535
1121;3;535
11211;3;535
12;3;5039
121;3;874
1211;3;346
12111;3;346
1212;3;529
1212Z;3;529
123;3;234
1231;3;80
12311;3;80
1232;3;103
1232Z;3;103
1233;3;52
12331;3;52
124;3;731
1241;3;731
12411;3;731
125;3;2147
1251;3;31
12511;3;31
1252;3;339
12521;3;339
1253;3;868
12531;3;868
1254;3;736
12541;3;736
1255;3;173
12551;3;173
126;3;159
1261;3;159
12611;3;159
127;3;861
1271;3;861
1271Z;3;861
128;3;21
1281;3;21
12811;3;21
129;3;11
1291;3;11
12911;3;11
13;3;12415
131;3;3336
1314;3;2163
13141;3;2163
1315;3;47
13151;3;47
1316;3;86
13161;3;86
131A;3;1040
131AZ;3;1040
132;3;5399
132Z;3;5399
132ZZ;3;5399
133;3;571
1331;3;571
13311;3;571
134;3;1953
134Z;3;1953
134ZZ;3;1953
135;3;1156
1351;3;1156
13511;3;1156
CTOTALE;3;31958
01;4;5067
011;4;4456
0111;4;962
01111;4;40
01112;4;588
01113;4;82
01114;4;180
01115;4;72
0112;4;1109
01121;4;295
01122;4;89
01123;4;27
01124;4;202
01125;4;358
01126;4;127
01127;4;11
0113;4;340
01130;4;117
01131;4;25
01132;4;65
01133;4;26
01134;4;107
0114;4;649
01145;4;313
01147;4;48
0114A;4;82
0114B;4;206
0115;4;95
01151;4;43
0115A;4;41
0115B;4;11
0116;4;328
01161;4;57
01162;4;29
01168;4;49
01169;4;7
0116A;4;186
0117;4;504
01175;4;9
01176;4;15
01177;4;57
01178;4;52
01179;4;93
0117A;4;278
0118;4;315
01181;4;17
0118A;4;299
0119;4;154
0119Z;4;154
012;4;410
0121;4;133
01213;4;8
0121A;4;125
0122;4;276
01221;4;73
01222;4;67
0122A;4;137
013;4;201
0131;4;201
0131Z;4;201
02;4;977
021;4;440
0211;4;117
02111;4;117
0212;4;253
0212A;4;253
0213;4;70
02131;4;70
022;4;534
022Z;4;534
022ZZ;4;534
024;4;3
0241;4;3
02411;4;3
03;4;1726
031;4;1220
0311;4;2
03111;4;2
0312;4;1149
0312Z;4;1149
0313;4;48
03131;4;48
0314;4;20
03141;4;20
032;4;360
032Z;4;360
032ZZ;4;360
033;4;147
0331;4;147
0331Z;4;147
04;4;4686
041;4;2064
0411;4;1953
04111;4;1953
0412;4;110
04121;4;110
043;4;177
0431;4;177
0431Z;4;177
044;4;875
0443;4;299
04431;4;299
0444;4;575
04441;4;575
045;4;1461
0450;4;198
04500;4;198
0451;4;804
04511;4;804
0452;4;276
0452Z;4;276
0453;4;125
0453Z;4;125
045A;4;58
045AZ;4;58
046;4;110
0461;4;110
04611;4;110
05;4;1649
051;4;463
0511;4;451
0511Z;4;451
051A;4;12
051AZ;4;12
052;4;114
0521;4;114
0521Z;4;114
053;4;202
0531;4;179
0531Z;4;179
0532;4;24
05321;4;24
054;4;88
0541;4;88
0541Z;4;88
055;4;165
0551;4;65
0551Z;4;65
0552;4;100
0552Z;4;100
056;4;550
0561;4;260
0561Z;4;260
0562;4;291
0562Z;4;291
057;4;67
0571;4;67
0571Z;4;67
06;4;592
061;4;274
0611;4;274
0611Z;4;274
062;4;275
0621;4;125
06211;4;125
0622;4;72
06221;4;72
0623;4;79
0623Z;4;79
063;4;27
0631;4;27
06311;4;27
064;4;16
0641;4;16
0641Z;4;16
07;4;5716
071;4;2499
0711;4;2328
0711Z;4;2328
0712;4;119
07121;4;119
0713;4;52
07131;4;52
072;4;2096
0721;4;171
07211;4;171
0722;4;1381
07221;4;1381
0723;4;357
07231;4;357
0724;4;187
0724Z;4;187
073;4;691
0736;4;10
07361;4;10
073Z;4;681
073ZZ;4;681
074;4;430
0741;4;430
0741Z;4;430
08;4;898
081;4;898
0811;4;21
08111;4;21
0812;4;130
08121;4;130
0813;4;748
08131;4;748
09;4;3002
091;4;346
0911;4;133
0911Z;4;133
0913;4;127
09131;4;127
0914;4;60
09141;4;60
091A;4;25
091AZ;4;25
092;4;117
092Z;4;117
092ZZ;4;117
093;4;504
0931;4;166
0931Z;4;166
0932;4;133
09321;4;133
093A;4;206
093AZ;4;206
094;4;982
0941;4;396
09411;4;396
0942;4;540
0942Z;4;540
0943;4;46
09431;4;46
095;4;333
0951;4;146
09511;4;146
0952;4;78
09521;4;78
0953;4;12
09531;4;12
0954;4;97
09541;4;97
096;4;468
0961;4;468
09611;4;468
097;4;252
0971;4;252
0971Z;4;252
10;4;537
101;4;537
1011;4;17
10111;4;17
1012;4;84
10121;4;84
1013;4;291
