NOMENCLATURE;TYPMEN;CONSO
012;5;423
0121;5;113
01213;5;6
0121A;5;107
0122;5;311
01221;5;87
01222;5;102
0122A;5;122
013;5;154
0131;5;154
0131Z;5;154
02;5;1002
021;5;368
0211;5;105
02111;5;105
0212;5;176
0212A;5;176
0213;5;87
02131;5;87
022;5;633
022Z;5;633
022ZZ;5;633
024;5;1
0241;5;1
02411;5;1
03;5;1511
031;5;1133
0311;5;10
03111;5;10
0312;5;1077
0312Z;5;1077
0313;5;36
03131;5;36
0314;5;10
03141;5;10
032;5;308
032Z;5;308
032ZZ;5;308
033;5;70
0331;5;70
0331Z;5;70
04;5;5173
041;5;2536
0411;5;2534
04111;5;2534
0412;5;2
04121;5;2
043;5;215
0431;5;215
0431Z;5;215
044;5;919
0443;5;306
04431;5;306
0444;5;613
04441;5;613
045;5;1459
0450;5;185
04500;5;185
0451;5;791
04511;5;791
0452;5;217
0452Z;5;217
0453;5;171
0453Z;5;171
045A;5;95
045AZ;5;95
046;5;44
0461;5;44
04611;5;44
05;5;1204
051;5;256
0511;5;246
0511Z;5;246
051A;5;10
051AZ;5;10
052;5;55
0521;5;55
0521Z;5;55
053;5;165
0531;5;135
0531Z;5;135
0532;5;29
05321;5;29
054;5;52
0541;5;52
0541Z;5;52
055;5;179
0551;5;90
0551Z;5;90
0552;5;90
0552Z;5;90
056;5;472
0561;5;347
0561Z;5;347
0562;5;125
0562Z;5;125
057;5;24
0571;5;24
0571Z;5;24
06;5;545
061;5;278
0611;5;278
0611Z;5;278
062;5;247
0621;5;83
06211;5;83
0622;5;113
06221;5;113
0623;5;51
0623Z;5;51
063;5;17
0631;5;17
06311;5;17
064;5;3
0641;5;3
0641Z;5;3
07;5;4706
071;5;1561
0711;5;1404
0711Z;5;1404
0712;5;137
07121;5;137
0713;5;20
07131;5;20
072;5;2262
0721;5;158
07211;5;158
0722;5;1567
07221;5;1567
0723;5;385
07231;5;385
0724;5;152
0724Z;5;152
073;5;615
0736;5;10
07361;5;10
073Z;5;605
073ZZ;5;605
074;5;269
0741;5;269
0741Z;5;269
08;5;967
081;5;967
0811;5;51
08111;5;51
0812;5;100
08121;5;100
0813;5;816
08131;5;816
09;5;2460
091;5;311
0911;5;109
0911Z;5;109
0913;5;93
09131;5;93
0914;5;51
09141;5;51
091A;5;58
091AZ;5;58
092;5;64
092Z;5;64
092ZZ;5;64
093;5;737
0931;5;279
0931Z;5;279
0932;5;132
09321;5;132
093A;5;326
093AZ;5;326
094;5;741
0941;5;218
09411;5;218
0942;5;472
0942Z;5;472
0943;5;51
09431;5;51
095;5;285
0951;5;98
09511;5;98
0952;5;116
09521;5;116
0953;5;3
09531;5;3
0954;5;67
09541;5;67
096;5;184
0961;5;184
09611;5;184
097;5;139
0971;5;139
0971Z;5;139
10;5;358
101;5;358
1011;5;19
10111;5;19
1012;5;13
10121;5;13
1013;5;245
10131;5;245
1014;5;77
10141;5;77
1015;5;5
1015Z;5;5
11;5;1772
111;5;1567
1111;5;1079
11111;5;514
11112;5;566
1112;5;351
11121;5;351
1113;5;137
1113Z;5;137
112;5;205
1121;5;205
11211;5;205
12;5;4382
121;5;842
1211;5;392
12111;5;392
1212;5;451
1212Z;5;451
123;5;118
1231;5;21
12311;5;21
1232;5;71
1232Z;5;71
1233;5;27
12331;5;27
124;5;122
1241;5;122
12411;5;122
125;5;2796
1251;5;46
12511;5;46
1252;5;381
12521;5;381
1253;5;1432
12531;5;1432
1254;5;770
12541;5;770
1255;5;168
12551;5;168
126;5;203
1261;5;203
12611;5;203
127;5;238
1271;5;238
1271Z;5;238
128;5;20
1281;5;20
12811;5;20
129;5;42
1291;5;42
12911;5;42
13;5;6598
131;5;2415
1314;5;1309
13141;5;1309
1315;5;30
13151;5;30
