NOMENCLATURE;DECUC;CONSO
02131;4;67
022;4;421
022Z;4;421
022ZZ;4;421
024;4;6
0241;4;6
02411;4;6
03;4;1043
031;4;735
0311;4;2
03111;4;2
0312;4;688
0312Z;4;688
0313;4;41
03131;4;41
0314;4;4
03141;4;4
032;4;225
032Z;4;225
032ZZ;4;225
033;4;83
0331;4;83
0331Z;4;83
04;4;4375
041;4;2210
0411;4;2168
04111;4;2168
0412;4;42
04121;4;42
043;4;81
0431;4;81
0431Z;4;81
044;4;757
0443;4;237
04431;4;237
0444;4;519
04441;4;519
045;4;1279
0450;4;146
04500;4;146
0451;4;683
04511;4;683
0452;4;237
0452Z;4;237
0453;4;157
0453Z;4;157
045A;4;57
045AZ;4;57
046;4;48
0461;4;48
04611;4;48
05;4;997
051;4;236
0511;4;221
0511Z;4;221
051A;4;15
051AZ;4;15
052;4;51
0521;4;51
0521Z;4;51
053;4;173
0531;4;158
0531Z;4;158
0532;4;14
05321;4;14
054;4;70
0541;4;70
0541Z;4;70
055;4;138
0551;4;49
0551Z;4;49
0552;4;89
0552Z;4;89
056;4;308
0561;4;225
0561Z;4;225
0562;4;83
0562Z;4;83
057;4;22
0571;4;22
0571Z;4;22
06;4;413
061;4;209
0611;4;209
0611Z;4;209
062;4;185
0621;4;99
06211;4;99
0622;4;46
06221;4;46
0623;4;41
0623Z;4;41
063;4;17
0631;4;17
06311;4;17
064;4;2
0641;4;2
0641Z;4;2
07;4;3482
071;4;1453
0711;4;1363
0711Z;4;1363
0712;4;59
07121;4;59
0713;4;31
07131;4;31
072;4;1491
0721;4;128
07211;4;128
0722;4;1006
07221;4;1006
0723;4;266
07231;4;266
0724;4;92
0724Z;4;92
073;4;327
0736;4;12
07361;4;12
073Z;4;315
073ZZ;4;315
074;4;211
0741;4;211
0741Z;4;211
08;4;702
081;4;702
0811;4;17
08111;4;17
0812;4;72
08121;4;72
0813;4;614
08131;4;614
09;4;1780
091;4;177
0911;4;54
0911Z;4;54
0913;4;63
09131;4;63
0914;4;47
09141;4;47
091A;4;14
091AZ;4;14
092;4;11
092Z;4;11
092ZZ;4;11
093;4;356
0931;4;117
0931Z;4;117
0932;4;96
09321;4;96
093A;4;143
093AZ;4;143
094;4;619
0941;4;164
09411;4;164
0942;4;410
0942Z;4;410
0943;4;45
09431;4;45
095;4;288
0951;4;91
09511;4;91
0952;4;116
09521;4;116
0953;4;9
09531;4;9
0954;4;72
09541;4;72
096;4;174
0961;4;174
09611;4;174
097;4;155
0971;4;155
0971Z;4;155
10;4;169
101;4;169
1011;4;10
10111;4;10
1012;4;18
10121;4;18
1013;4;102
10131;4;102
1014;4;11
10141;4;11
1015;4;29
1015Z;4;29
11;4;1373
111;4;1139
1111;4;686
11111;4;342
11112;4;344
1112;4;299
11121;4;299
1113;4;154
1113Z;4;154
112;4;234
1121;4;234
11211;4;234
12;4;3445
121;4;609
1211;4;252
12111;4;252
1212;4;356
1212Z;4;356
123;4;104
1231;4;28
12311;4;28
1232;4;44
1232Z;4;44
1233;4;32
12331;4;32
124;4;130
1241;4;130
12411;4;130
125;4;2193
1251;4;43
12511;4;43
1252;4;346
12521;4;346
1253;4;1096
12531;4;1096
1254;4;598
12541;4;598
1255;4;110
12551;4;110
126;4;139
1261;4;139
12611;4;139
127;4;242
1271;4;242
1271Z;4;242
128;4;13
1281;4;13
12811;4;13
129;4;15
1291;4;15
12911;4;15
13;4;4849
131;4;1198
1314;4;332
13141;4;332
1315;4;18
13151;4;18
1316;4;18
13161;4;18
131A;4;831
131AZ;4;831
132;4;1387
132Z;4;1387
132ZZ;4;1387
133;4;578
1331;4;578
13311;4;578
134;4;789
134Z;4;789
134ZZ;4;789
135;4;897
1351;4;897
13511;4;897
CTOTALE;4;22638
01;5;4042
011;5;3590
0111;5;770
01111;5;29
01112;5;483
01113;5;58
01114;5;151
01115;5;50
0112;5;901
01121;5;219
01122;5;72
01123;5;23
01124;5;154
01125;5;308
01126;5;115
01127;5;9
0113;5;240
01130;5;85
01131;5;18
01132;5;48
01133;5;17
01134;5;72
0114;5;546
01145;5;263
01147;5;41
0114A;5;71
0114B;5;171
0115;5;89
01151;5;39
0115A;5;35
0115B;5;14
0116;5;263
01161;5;51
01162;5;23
01168;5;39
01169;5;8
0116A;5;142
0117;5;386
01175;5;6
01176;5;12
01177;5;49
01178;5;37
01179;5;77
0117A;5;206
0118;5;250
01181;5;15
0118A;5;235
0119;5;146
0119Z;5;146
012;5;311
0121;5;113
01213;5;6
0121A;5;107
0122;5;198
01221;5;65
01222;5;47
0122A;5;86
013;5;141
0131;5;141
0131Z;5;141
02;5;810
021;5;356
0211;5;97
02111;5;97
0212;5;180
0212A;5;180
0213;5;79
02131;5;79
022;5;448
022Z;5;448
022ZZ;5;448
024;5;5
0241;5;5
02411;5;5
03;5;1087
031;5;767
0311;5;6
03111;5;6
0312;5;720
0312Z;5;720
0313;5;35
03131;5;35
0314;5;5
03141;5;5
032;5;233
032Z;5;233
032ZZ;5;233
033;5;88
0331;5;88
0331Z;5;88
04;5;4369
041;5;2227
0411;5;2183
04111;5;2183
0412;5;44
04121;5;44
043;5;150
0431;5;150
0431Z;5;150
044;5;689
0443;5;244
04431;5;244
0444;5;445
04441;5;445
045;5;1281
0450;5;135
04500;5;135
0451;5;714
04511;5;714
0452;5;245
0452Z;5;245
0453;5;129
0453Z;5;129
045A;5;57
045AZ;5;57
046;5;22
0461;5;22
04611;5;22
05;5;1102
051;5;292
0511;5;282
0511Z;5;282
051A;5;10
051AZ;5;10
052;5;75
0521;5;75
0521Z;5;75
053;5;166
0531;5;144
0531Z;5;144
0532;5;23
05321;5;23
054;5;65
0541;5;65
0541Z;5;65
055;5;143
0551;5;65
0551Z;5;65
0552;5;79
0552Z;5;79
056;5;336
0561;5;235
0561Z;5;235
0562;5;100
0562Z;5;100
057;5;25
0571;5;25
0571Z;5;25
06;5;470
061;5;246
0611;5;246
0611Z;5;246
062;5;194
0621;5;100
06211;5;100
0622;5;49
06221;5;49
0623;5;45
0623Z;5;45
063;5;28
0631;5;28
06311;5;28
064;5;2
0641;5;2
0641Z;5;2
07;5;3796
071;5;1512
0711;5;1441
0711Z;5;1441
0712;5;46
07121;5;46
0713;5;25
07131;5;25
072;5;1717
