NOMENCLATURE;STRATE;CONSO
051A;4;12
051AZ;4;12
052;4;111
0521;4;111
0521Z;4;111
053;4;173
0531;4;151
0531Z;4;151
0532;4;22
05321;4;22
054;4;73
0541;4;73
0541Z;4;73
055;4;117
0551;4;19
0551Z;4;19
0552;4;97
0552Z;4;97
056;4;750
0561;4;223
0561Z;4;223
0562;4;527
0562Z;4;527
057;4;54
0571;4;54
0571Z;4;54
06;4;643
061;4;276
0611;4;276
0611Z;4;276
062;4;309
0621;4;115
06211;4;115
0622;4;82
06221;4;82
0623;4;112
0623Z;4;112
063;4;28
0631;4;28
06311;4;28
064;4;29
0641;4;29
0641Z;4;29
07;4;4351
071;4;1288
0711;4;1205
0711Z;4;1205
0712;4;60
07121;4;60
0713;4;23
07131;4;23
072;4;1110
0721;4;112
07211;4;112
0722;4;663
07221;4;663
0723;4;181
07231;4;181
0724;4;154
0724Z;4;154
073;4;1328
0736;4;12
07361;4;12
073Z;4;1316
073ZZ;4;1316
074;4;625
0741;4;625
0741Z;4;625
08;4;774
081;4;774
0811;4;25
08111;4;25
0812;4;113
08121;4;113
0813;4;637
08131;4;637
09;4;3125
091;4;292
0911;4;79
0911Z;4;79
0913;4;117
09131;4;117
0914;4;59
09141;4;59
091A;4;36
091AZ;4;36
092;4;227
092Z;4;227
092ZZ;4;227
093;4;402
0931;4;174
0931Z;4;174
0932;4;125
09321;4;125
093A;4;104
093AZ;4;104
094;4;1090
0941;4;517
09411;4;517
0942;4;540
0942Z;4;540
0943;4;33
09431;4;33
095;4;344
0951;4;165
09511;4;165
0952;4;105
09521;4;105
0953;4;12
09531;4;12
0954;4;62
09541;4;62
096;4;490
0961;4;490
09611;4;490
097;4;280
0971;4;280
0971Z;4;280
10;4;368
101;4;368
1011;4;39
10111;4;39
1012;4;46
10121;4;46
1013;4;189
10131;4;189
1014;4;41
10141;4;41
1015;4;53
1015Z;4;53
11;4;2991
111;4;2520
1111;4;1628
11111;4;939
11112;4;689
1112;4;530
11121;4;530
1113;4;362
1113Z;4;362
112;4;471
1121;4;471
11211;4;471
12;4;4425
121;4;901
1211;4;383
12111;4;383
1212;4;518
1212Z;4;518
123;4;230
1231;4;94
12311;4;94
1232;4;81
1232Z;4;81
1233;4;55
12331;4;55
124;4;401
1241;4;401
12411;4;401
125;4;2095
1251;4;28
12511;4;28
1252;4;394
12521;4;394
1253;4;1053
12531;4;1053
1254;4;480
12541;4;480
1255;4;140
12551;4;140
126;4;158
1261;4;158
12611;4;158
127;4;606
1271;4;606
1271Z;4;606
128;4;19
1281;4;19
12811;4;19
129;4;16
1291;4;16
12911;4;16
13;4;13191
131;4;5875
1314;4;4391
13141;4;4391
1315;4;35
13151;4;35
1316;4;61
13161;4;61
131A;4;1388
131AZ;4;1388
132;4;3986
132Z;4;3986
132ZZ;4;3986
133;4;1107
1331;4;1107
13311;4;1107
134;4;1337
134Z;4;1337
134ZZ;4;1337
135;4;886
1351;4;886
13511;4;886
CTOTALE;4;31772
01;TOT;4410
011;TOT;3898
0111;TOT;786
01111;TOT;31
01112;TOT;496
01113;TOT;62
01114;TOT;145
01115;TOT;53
0112;TOT;957
01121;TOT;255
01122;TOT;75
01123;TOT;32
01124;TOT;159
01125;TOT;314
01126;TOT;111
01127;TOT;12
0113;TOT;297
01130;TOT;111
01131;TOT;19
01132;TOT;59
01133;TOT;24
01134;TOT;85
0114;TOT;572
01145;TOT;278
01147;TOT;45
0114A;TOT;73
0114B;TOT;177
0115;TOT;90
01151;TOT;41
0115A;TOT;35
0115B;TOT;13
0116;TOT;336
01161;TOT;62
01162;TOT;27
01168;TOT;47
01169;TOT;7
0116A;TOT;191
0117;TOT;449
01175;TOT;7
01176;TOT;12
01177;TOT;52
01178;TOT;41
01179;TOT;82
0117A;TOT;255
0118;TOT;260
01181;TOT;15
0118A;TOT;245
0119;TOT;152
0119Z;TOT;152
012;TOT;343
0121;TOT;126
01213;TOT;6
0121A;TOT;120
0122;TOT;218
01221;TOT;67
01222;TOT;48
0122A;TOT;103
013;TOT;169
0131;TOT;169
0131Z;TOT;169
02;TOT;788
021;TOT;387
0211;TOT;100
02111;TOT;100
0212;TOT;225
0212A;TOT;225
0213;TOT;62
02131;TOT;62
022;TOT;397
022Z;TOT;397
022ZZ;TOT;397
024;TOT;4
0241;TOT;4
02411;TOT;4
03;TOT;1374
031;TOT;956
0311;TOT;4
03111;TOT;4
0312;TOT;894
0312Z;TOT;894
0313;TOT;42
03131;TOT;42
0314;TOT;16
03141;TOT;16
032;TOT;288
032Z;TOT;288
032ZZ;TOT;288
033;TOT;129
0331;TOT;129
0331Z;TOT;129
04;TOT;4454
041;TOT;2022
0411;TOT;1975
04111;TOT;1975
0412;TOT;47
04121;TOT;47
043;TOT;176
0431;TOT;176
0431Z;TOT;176
044;TOT;834
0443;TOT;256
04431;TOT;256
0444;TOT;578
04441;TOT;578
045;TOT;1353
0450;TOT;178
04500;TOT;178
0451;TOT;746
04511;TOT;746
0452;TOT;253
0452Z;TOT;253
0453;TOT;121
0453Z;TOT;121
045A;TOT;55
045AZ;TOT;55
046;TOT;70
0461;TOT;70
04611;TOT;70
05;TOT;1558
051;TOT;424
0511;TOT;410
0511Z;TOT;410
051A;TOT;14
051AZ;TOT;14
052;TOT;85
0521;TOT;85
0521Z;TOT;85
053;TOT;196
0531;TOT;171
0531Z;TOT;171
0532;TOT;25
05321;TOT;25
054;TOT;80
0541;TOT;80
0541Z;TOT;80
055;TOT;208
0551;TOT;74
0551Z;TOT;74
0552;TOT;134
0552Z;TOT;134
056;TOT;517
0561;TOT;236
0561Z;TOT;236
0562;TOT;281
0562Z;TOT;281
057;TOT;48
0571;TOT;48
0571Z;TOT;48
06;TOT;505
061;TOT;254
0611;TOT;254
0611Z;TOT;254
062;TOT;217
0621;TOT;101
06211;TOT;101
0622;TOT;61
06221;TOT;61
0623;TOT;55
0623Z;TOT;55
063;TOT;25
0631;TOT;25
06311;TOT;25
064;TOT;9
0641;TOT;9
0641Z;TOT;9
07;TOT;4482
071;TOT;1917
0711;TOT;1808
0711Z;TOT;1808
0712;TOT;74
07121;TOT;74
0713;TOT;35
07131;TOT;35
072;TOT;1671
0721;TOT;136
07211;TOT;136
0722;TOT;1108
07221;TOT;1108
0723;TOT;293
07231;TOT;293
0724;TOT;134
0724Z;TOT;134
073;TOT;529
0736;TOT;15
07361;TOT;15
073Z;TOT;514
073ZZ;TOT;514
074;TOT;365
0741;TOT;365
0741Z;TOT;365
08;TOT;743
081;TOT;743
0811;TOT;22
08111;TOT;22
0812;TOT;86
08121;TOT;86
0813;TOT;635
08131;TOT;635
09;TOT;2566
091;TOT;257
0911;TOT;93
0911Z;TOT;93
0913;TOT;90
09131;TOT;90
0914;TOT;48
09141;TOT;48
091A;TOT;26
091AZ;TOT;26
092;TOT;94
092Z;TOT;94
092ZZ;TOT;94
093;TOT;472
0931;TOT;167
0931Z;TOT;167
0932;TOT;143
09321;TOT;143
093A;TOT;161
093AZ;TOT;161
094;TOT;829
0941;TOT;325
09411;TOT;325
0942;TOT;466
0942Z;TOT;466
