NOMENCLATURE;CSPR;CONSO
1015Z;4;65
11;4;2618
111;4;2174
1111;4;1327
11111;4;663
11112;4;664
1112;4;550
11121;4;550
1113;4;297
1113Z;4;297
112;4;443
1121;4;443
11211;4;443
12;4;4992
121;4;899
1211;4;382
12111;4;382
1212;4;517
1212Z;4;517
123;4;228
1231;4;62
12311;4;62
1232;4;101
1232Z;4;101
1233;4;66
12331;4;66
124;4;561
1241;4;561
12411;4;561
125;4;2337
1251;4;38
12511;4;38
1252;4;357
12521;4;357
1253;4;921
12531;4;921
1254;4;840
12541;4;840
1255;4;181
12551;4;181
126;4;171
1261;4;171
12611;4;171
127;4;741
1271;4;741
1271Z;4;741
128;4;25
1281;4;25
12811;4;25
129;4;29
1291;4;29
12911;4;29
13;4;11037
131;4;3231
1314;4;1968
13141;4;1968
1315;4;21
13151;4;21
1316;4;67
13161;4;67
131A;4;1176
131AZ;4;1176
132;4;4078
132Z;4;4078
132ZZ;4;4078
133;4;770
1331;4;770
13311;4;770
134;4;1642
134Z;4;1642
134ZZ;4;1642
135;4;1317
1351;4;1317
13511;4;1317
CTOTALE;4;32118
01;5;3736
011;5;3266
0111;5;746
01111;5;35
01112;5;443
01113;5;60
01114;5;156
01115;5;51
0112;5;784
01121;5;187
01122;5;61
01123;5;27
01124;5;148
01125;5;253
01126;5;94
01127;5;14
0113;5;211
01130;5;71
01131;5;13
01132;5;42
01133;5;19
01134;5;65
0114;5;488
01145;5;223
01147;5;37
0114A;5;71
0114B;5;156
0115;5;66
01151;5;31
0115A;5;24
0115B;5;11
0116;5;229
01161;5;42
01162;5;22
01168;5;30
01169;5;5
0116A;5;131
0117;5;379
01175;5;7
01176;5;13
01177;5;47
01178;5;38
01179;5;80
0117A;5;194
0118;5;235
01181;5;12
0118A;5;223
0119;5;129
0119Z;5;129
012;5;318
0121;5;105
01213;5;6
0121A;5;99
0122;5;213
01221;5;55
01222;5;58
0122A;5;101
013;5;151
0131;5;151
0131Z;5;151
02;5;726
021;5;255
0211;5;82
02111;5;82
0212;5;115
0212A;5;115
0213;5;59
02131;5;59
022;5;468
022Z;5;468
022ZZ;5;468
024;5;2
0241;5;2
02411;5;2
03;5;1505
031;5;1053
0311;5;2
03111;5;2
0312;5;1002
0312Z;5;1002
0313;5;37
03131;5;37
0314;5;12
03141;5;12
032;5;320
032Z;5;320
032ZZ;5;320
033;5;132
0331;5;132
0331Z;5;132
04;5;4778
041;5;2572
0411;5;2529
04111;5;2529
0412;5;42
04121;5;42
043;5;177
0431;5;177
0431Z;5;177
044;5;874
0443;5;239
04431;5;239
0444;5;634
04441;5;634
045;5;1103
0450;5;126
04500;5;126
0451;5;670
04511;5;670
0452;5;203
0452Z;5;203
0453;5;64
0453Z;5;64
045A;5;40
045AZ;5;40
046;5;53
0461;5;53
04611;5;53
05;5;1046
051;5;344
0511;5;331
0511Z;5;331
051A;5;13
051AZ;5;13
052;5;45
0521;5;45
0521Z;5;45
053;5;170
0531;5;149
0531Z;5;149
0532;5;22
05321;5;22
054;5;69
0541;5;69
0541Z;5;69
055;5;134
0551;5;38
0551Z;5;38
0552;5;97
0552Z;5;97
056;5;251
0561;5;208
0561Z;5;208
0562;5;44
0562Z;5;44
057;5;31
0571;5;31
0571Z;5;31
06;5;437
061;5;197
0611;5;197
0611Z;5;197
062;5;202
0621;5;98
06211;5;98
0622;5;60
06221;5;60
0623;5;43
0623Z;5;43
063;5;23
0631;5;23
06311;5;23
064;5;16
0641;5;16
0641Z;5;16
07;5;3954
071;5;1547
0711;5;1433
0711Z;5;1433
0712;5;95
07121;5;95
0713;5;19
07131;5;19
072;5;1699
0721;5;118
07211;5;118
0722;5;1185
07221;5;1185
0723;5;280
07231;5;280
0724;5;116
0724Z;5;116
073;5;443
0736;5;10
07361;5;10
073Z;5;433
073ZZ;5;433
074;5;265
0741;5;265
0741Z;5;265
08;5;793
081;5;793
0811;5;22
08111;5;22
0812;5;107
08121;5;107
0813;5;664
08131;5;664
09;5;2054
091;5;213
0911;5;62
0911Z;5;62
0913;5;97
09131;5;97
0914;5;41
09141;5;41
091A;5;12
091AZ;5;12
092;5;88
092Z;5;88
092ZZ;5;88
093;5;424
0931;5;192
0931Z;5;192
0932;5;82
09321;5;82
093A;5;151
093AZ;5;151
094;5;748
0941;5;248
09411;5;248
0942;5;464
0942Z;5;464
0943;5;37
09431;5;37
095;5;202
0951;5;86
09511;5;86
0952;5;46
09521;5;46
0953;5;11
09531;5;11
0954;5;58
09541;5;58
096;5;197
0961;5;197
09611;5;197
097;5;183
0971;5;183
0971Z;5;183
10;5;194
101;5;194
1011;5;24
10111;5;24
1012;5;29
10121;5;29
1013;5;92
10131;5;92
1014;5;28
10141;5;28
1015;5;22
1015Z;5;22
11;5;1687
111;5;1414
1111;5;812
11111;5;388
11112;5;424
1112;5;434
11121;5;434
1113;5;168
1113Z;5;168
112;5;273
1121;5;273
11211;5;273
12;5;3630
121;5;724
1211;5;302
12111;5;302
1212;5;422
1212Z;5;422
123;5;132
1231;5;31
12311;5;31
1232;5;63
1232Z;5;63
1233;5;38
12331;5;38
124;5;228
1241;5;228
12411;5;228
125;5;1921
1251;5;29
12511;5;29
1252;5;291
12521;5;291
1253;5;814
12531;5;814
1254;5;682
12541;5;682
1255;5;105
12551;5;105
126;5;148
1261;5;148
12611;5;148
127;5;443
1271;5;443
1271Z;5;443
128;5;20
1281;5;20
12811;5;20
129;5;16
1291;5;16
12911;5;16
13;5;5865
131;5;1494
1314;5;694
13141;5;694
1315;5;10
13151;5;10
1316;5;32
13161;5;32
131A;5;757
131AZ;5;757
132;5;1894
132Z;5;1894
132ZZ;5;1894
133;5;558
1331;5;558
13311;5;558
134;5;803
134Z;5;803
134ZZ;5;803
135;5;1117
1351;5;1117
13511;5;1117
CTOTALE;5;24541
01;6;4007
011;6;3517
0111;6;800
01111;6;30
01112;6;497
01113;6;64
01114;6;158
01115;6;52
0112;6;907
01121;6;220
01122;6;84
01123;6;28
01124;6;156
01125;6;297
01126;6;112
01127;6;9
0113;6;196
01130;6;65
01131;6;12
01132;6;34
01133;6;12
01134;6;72
0114;6;533
01145;6;238
01147;6;35
0114A;6;84
0114B;6;176
0115;6;80
01151;6;33
0115A;6;35
0115B;6;12
0116;6;228
01161;6;38
01162;6;27
01168;6;33
01169;6;6
0116A;6;123
0117;6;360
01175;6;6
01176;6;11
01177;6;47
01178;6;31
01179;6;82
0117A;6;183
0118;6;243
01181;6;14
0118A;6;229
0119;6;168
0119Z;6;168
012;6;352
0121;6;104
01213;6;6
0121A;6;98
0122;6;248
01221;6;56
01222;6;71
0122A;6;121
013;6;138
0131;6;138
0131Z;6;138
02;6;961
021;6;324
0211;6;127
02111;6;127
0212;6;124
0212A;6;124
0213;6;73
02131;6;73
022;6;634
022Z;6;634
022ZZ;6;634
024;6;3
0241;6;3
02411;6;3
03;6;1317
031;6;943
0311;6;1
03111;6;1
0312;6;914
0312Z;6;914
0313;6;22
03131;6;22
0314;6;6
03141;6;6
032;6;283
032Z;6;283
032ZZ;6;283
033;6;91
0331;6;91
0331Z;6;91
04;6;4491
041;6;2368
0411;6;2330
04111;6;2330
0412;6;38
04121;6;38
043;6;142
0431;6;142
0431Z;6;142
044;6;731
0443;6;260
04431;6;260
0444;6;472
04441;6;472
045;6;1225
0450;6;150
04500;6;150
0451;6;712
04511;6;712
0452;6;204
0452Z;6;204
0453;6;96
0453Z;6;96
045A;6;63
045AZ;6;63
046;6;24
0461;6;24
04611;6;24
05;6;1127
051;6;348
0511;6;340
0511Z;6;340
051A;6;8
051AZ;6;8
052;6;54
0521;6;54
0521Z;6;54
053;6;183
0531;6;155
0531Z;6;155
0532;6;28
05321;6;28
054;6;75
0541;6;75
0541Z;6;75
055;6;149
0551;6;65
0551Z;6;65
