NOMENCLATURE;ZEAT;CONSO
134Z;4;1393
134ZZ;4;1393
135;4;1053
1351;4;1053
13511;4;1053
CTOTALE;4;26934
01;5;4278
011;5;3798
0111;5;791
01111;5;28
01112;5;507
01113;5;48
01114;5;155
01115;5;53
0112;5;910
01121;5;234
01122;5;78
01123;5;19
01124;5;146
01125;5;321
01126;5;106
01127;5;7
0113;5;357
01130;5;125
01131;5;13
01132;5;102
01133;5;25
01134;5;92
0114;5;538
01145;5;243
01147;5;42
0114A;5;72
0114B;5;181
0115;5;111
01151;5;63
0115A;5;33
0115B;5;14
0116;5;300
01161;5;58
01162;5;26
01168;5;43
01169;5;8
0116A;5;165
0117;5;400
01175;5;7
01176;5;11
01177;5;57
01178;5;42
01179;5;73
0117A;5;210
0118;5;255
01181;5;16
0118A;5;239
0119;5;136
0119Z;5;136
012;5;315
0121;5;114
01213;5;6
0121A;5;108
0122;5;201
01221;5;59
01222;5;42
0122A;5;100
013;5;165
0131;5;165
0131Z;5;165
02;5;792
021;5;406
0211;5;125
02111;5;125
0212;5;207
0212A;5;207
0213;5;75
02131;5;75
022;5;381
022Z;5;381
022ZZ;5;381
024;5;4
0241;5;4
02411;5;4
03;5;1202
031;5;846
0311;5;7
03111;5;7
0312;5;774
0312Z;5;774
0313;5;47
03131;5;47
0314;5;18
03141;5;18
032;5;249
032Z;5;249
032ZZ;5;249
033;5;107
0331;5;107
0331Z;5;107
04;5;3493
041;5;1395
0411;5;1333
04111;5;1333
0412;5;62
04121;5;62
043;5;141
0431;5;141
0431Z;5;141
044;5;510
0443;5;271
04431;5;271
0444;5;239
04441;5;239
045;5;1386
0450;5;142
04500;5;142
0451;5;816
04511;5;816
0452;5;201
0452Z;5;201
0453;5;165
0453Z;5;165
045A;5;63
045AZ;5;63
046;5;61
0461;5;61
04611;5;61
05;5;1591
051;5;497
0511;5;469
0511Z;5;469
051A;5;29
051AZ;5;29
052;5;73
0521;5;73
0521Z;5;73
053;5;191
0531;5;164
0531Z;5;164
0532;5;27
05321;5;27
054;5;84
0541;5;84
0541Z;5;84
055;5;190
0551;5;87
0551Z;5;87
0552;5;103
0552Z;5;103
056;5;506
0561;5;217
0561Z;5;217
0562;5;289
0562Z;5;289
057;5;49
0571;5;49
0571Z;5;49
06;5;450
061;5;246
0611;5;246
0611Z;5;246
062;5;190
0621;5;91
06211;5;91
0622;5;53
06221;5;53
0623;5;45
0623Z;5;45
063;5;14
0631;5;14
06311;5;14
064;5;1
0641;5;1
0641Z;5;1
07;5;4388
071;5;1930
0711;5;1832
0711Z;5;1832
0712;5;55
07121;5;55
0713;5;43
07131;5;43
072;5;1779
0721;5;95
07211;5;95
0722;5;1247
07221;5;1247
0723;5;294
07231;5;294
0724;5;143
0724Z;5;143
073;5;349
0736;5;23
07361;5;23
073Z;5;325
073ZZ;5;325
